Country_Code,Year,GERD_Sector_Gov,GERD_Sector_HE,GERD_Sector_Biz
ARG,1996,0.3449647806430543,,
ARG,1997,0.25767744898481487,,
ARG,1998,0.2504232883478005,,
ARG,1999,0.2738360973814964,,
ARG,2000,0.2608301912335954,,
ARG,2001,0.24869888089147052,,
ARG,2002,0.22488203478119867,,
ARG,2003,0.23643758086553326,,
ARG,2004,0.27439781635261246,,
ARG,2005,0.2800110749617028,,
ARG,2006,0.29531670039665847,,
ARG,2007,0.2953269076068979,,
ARG,2008,0.2983817885166846,,
ARG,2009,0.494125038390744,,
ARG,2010,0.35368801733821864,,
ARG,2011,0.3526890515727571,,
ARG,2012,0.3871832591936629,,
ARG,2013,0.3742930945975346,,
ARG,2014,0.3533737056653573,,
ARG,2015,0.3683934081011845,,
ARG,2016,0.30777916731931554,,
ARG,2017,0.3007983039877323,,
ARG,2018,0.2560908302927581,,
ARG,2019,0.24915151115021297,,
ARG,2020,0.27359638276232096,,
ARG,2021,0.25640630184368524,,
ARG,2022,0.2597132292649629,,
ARG,2023,0.2793776247274516,,
AUS,1996,1.4333285008619396,,
AUS,1998,1.2798307218046656,,
AUS,2000,1.264765902793595,,
AUS,2002,1.3802599560561848,,
AUS,2004,1.406345563571327,,
AUS,2006,1.5637884930818753,,
AUS,2008,1.7115761576363686,,
AUS,2010,1.6120756687768543,,
AUS,2011,1.5510973434328525,,
AUS,2013,1.4895816943226685,,
AUS,2015,1.361642778610188,,
AUS,2017,1.264568941355384,,
AUS,2019,1.2236497101921422,,
AUS,2021,1.0555759776794245,,
AUS,2023,1.0083406599388134,,
AUT,1995,1.1272628473846775,,
AUT,1996,1.1564088313097016,,
AUT,1997,1.198301300100828,,
AUT,1998,1.2428810574427416,,
AUT,1999,1.3218147945696255,,
AUT,2000,1.325320449045981,,
AUT,2001,1.3975670477759634,,
AUT,2002,1.4188408989841275,,
AUT,2003,1.4672929733807227,,
AUT,2004,1.43798372340196,,
AUT,2005,1.5551804089202164,,
AUT,2006,1.503591266036294,,
AUT,2007,1.527981349353263,,
AUT,2008,1.5903926633829322,,
AUT,2009,1.5774380243120667,,
AUT,2010,1.6472876558975824,,
AUT,2011,1.5833549184481328,,
AUT,2012,1.6889651883429735,,
AUT,2013,1.6792914998089814,,
AUT,2014,1.7371620600662336,,
AUT,2015,1.6914278527286446,,
AUT,2016,1.6849500909485164,,
AUT,2017,1.641876185480699,,
AUT,2018,1.6340186612479923,,
AUT,2019,1.6099856996534472,,
AUT,2020,1.6103461278955598,,
AUT,2021,1.6111060192564512,,
AUT,2022,1.4968396171490754,,
AUT,2023,1.4917367811003284,,
AUT,2024,1.489016181890482,,
BEL,1995,1.2152393039834266,,
BEL,1996,1.2844503096267743,,
